2B,410,ASF,2966,KZN,2990,,0,CR2,0636,0836
2B,410,ASF,2966,MRV,2962,,0,CR2,2118,2318
2B,410,CEK,2968,KZN,2990,,0,CR2,0741,0941
2B,410,CEK,2968,OVB,4078,,0,CR2,0445,0645
2B,410,DME,4029,KZN,2990,,0,CR2,1054,1254
2B,410,DME,4029,NBC,6969,,0,CR2,0918,1118
2B,410,DME,4029,TGK,\N,,0,CR2,1254,1454
2B,410,DME,4029,UUA,6160,,0,CR2,0925,1125
2B,410,EGO,6156,KGD,2952,,0,CR2,0824,1024
2B,410,EGO,6156,KZN,2990,,0,CR2,2040,2240
2B,410,GYD,2922,NBC,6969,,0,CR2,1829,2029
2B,410,KGD,2952,EGO,6156,,0,CR2,1945,2145
2B,410,KZN,2990,AER,2965,,0,CR2,1833,2033
2B,410,KZN,2990,ASF,2966,,0,CR2,2341,0121
2B,410,KZN,2990,CEK,2968,,0,CR2,0055,0255
2B,410,KZN,2990,DME,4029,,0,CR2,1417,1617
2B,410,KZN,2990,EGO,6156,,0,CR2,1557,1757
2B,410,KZN,2990,LED,2948,,0,CR2,1031,1231
2B,410,KZN,2990,SVX,2975,,0,CR2,0532,0732
2B,410,LED,2948,KZN,2990,,0,CR2,1844,2044
2B,410,LED,2948,NBC,6969,,0,CR2,2131,2331
2B,410,LED,2948,UUA,6160,,0,CR2,0856,1056
2B,410,MRV,2962,ASF,2966,,0,CR2,0712,0912
2B,410,NBC,6969,DME,4029,,0,CR2,0017,0217
2B,410,NBC,6969,GYD,2922,,0,CR2,2202,0331
2B,410,NBC,6969,LED,2948,,0,CR2,1119,1319
2B,410,NBC,6969,SVX,2975,,0,CR2,0603,0803
2B,410,NJC,2972,SVX,2975,,0,CR2,0023,0223
2B,410,NJC,2972,UUA,6160,,0,CR2,1357,1557
2B,410,NUX,4364,SVX,2975,,0,CR2,0536,0736
2B,410,OVB,4078,CEK,2968,,0,CR2,0310,0510
2B,410,OVB,4078,SVX,2975,,0,CR2,0426,0626
2B,410,SVX,2975,KZN,2990,,0,CR2,0543,0743
2B,410,SVX,2975,NBC,6969,,0,CR2,1446,1646
2B,410,SVX,2975,NJC,2972,,0,CR2,0552,0752
2B,410,SVX,2975,NUX,4364,,0,CR2,2343,0682
2B,410,SVX,2975,OVB,4078,,0,CR2,0552,0752
2B,410,TGK,\N,DME,4029,,0,CR2,0719,0919
2B,410,UUA,6160,DME,4029,,0,CR2,0712,0912
2B,410,UUA,6160,LED,2948,,0,CR2,1449,1649
2B,410,UUA,6160,NJC,2972,,0,CR2,0620,0820
2G,1654,BTK,2936,IKT,2937,,0,A81,0237,0437
2G,1654,BTK,2936,OVB,4078,,0,A81,1855,2055
2G,1654,CEK,2968,OVB,4078,,0,A81,0953,1153
